Baylor,6
Hartford,0
North Carolina,0
Wisconsin,1
Purdue,0
North Texas,1
Villanova,2
Winthrop,0
Ohio State,0
Oral Roberts,2
Florida,1
Virginia Tech,0
Arkansas,3
Colgate,0
Texas Tech,1
Utah State,0
Illinois,1
Drexel,0
Loyola (IL),2
Georgia Tech,0
Oklahoma State,1
Liberty,0
Tennessee,0
Oregon State,3
Houston,4
Cleveland State,0
Clemson,0
Rutgers,1
West Virginia,1
Morehead State,0
San Diego State,0
Syracuse,2
Gonzaga,5
Norfolk State,0
Oklahoma,1
Missouri,0
Virginia,0
Ohio,1
Creighton,2
UC Santa Barbara,0
Iowa,1
Grand Canyon,0
Oregon,2
Virginia Commonwealth,0
Kansas,1
Eastern Washington,0
Southern California,3
Drake,0
Michigan,3
Texas Southern,0
Louisiana State,1
St. Bonaventure,0
Florida State,2
UNC Greensboro,0
Colorado,1
Georgetown,0
Alabama,2
Iona,0
Connecticut,0
Maryland,1
Texas,0
Abilene Christian,1
Brigham Young,0
UCLA,4
